,Asset Turnover Ratio ,Current Ratio,Debt to Equity Ratio,Dividend Yield,Interest Coverage Ratio,Inventory Turnover Ratio ,Price to Earnings,Price-to-Book Ratio (P/B),Profit Margin,Quick Ratio ,Return on Assets (ROA),Return on Equity (ROE),Clusters
A,0.55,3.85,0.45,0.006840148698884759,8.56,3.73,48.03571428571429,48.03571428571429,0.3687150837988827,3.85,0.06177296430004011,0.11087113030957524,0
AAL,0.81,0.74,5.94,0.007702676680146351,5.34,16.27,10.796257796257796,10.796257796257796,0.21911078359125521,0.74,0.055272126407105236,0.4748890860692103,4
AAP,1.16,1.41,0.36,0.0027656141968195437,13.33,1.25,13.996774193548386,13.996774193548386,0.13252018197875223,1.41,0.05650234523911236,0.1867890084237973,2
AAPL,0.7,1.35,0.59,0.013952,43.15,58.64,18.802647412755714,18.802647412755714,3.1682720660507173,1.35,0.15030495576431677,0.3770087875928857,9
ABBV,0.43,1.65,7.86,0.02372528616024974,8.53,3.69,26.47382920110193,26.47382920110193,1.016737830913749,1.65,0.11221489161168709,1.508998732572877,4
ABT,0.44,4.02,1.0,0.018465909090909092,4.28,3.59,59.91489361702128,59.91489361702128,0.20983213429256595,4.02,0.03394186243848037,0.06600348875583424,0
ADM,1.56,1.6,0.38,0.027592550011496894,7.22,6.87,20.13425925925926,20.13425925925926,0.6254278728606357,1.6,0.03184998879398362,0.07145650595005308,5
ALB,0.3,2.9,0.56,0.008666003693706492,8.91,3.56,24.785211267605636,24.785211267605636,1.6918157828335927,2.9,0.06694478031961264,0.19778656043893914,0
ALK,0.72,0.81,0.9,0.01380348851800728,45.83,38.94,12.185015290519877,12.185015290519877,0.46943483275663206,0.81,0.12459819378539722,0.33761924512650354,9
AMAT,0.72,2.3,0.44,0.0071313959707612765,13.99,3.25,36.422077922077925,36.422077922077925,2.1013431013431014,2.3,0.11242487588189182,0.22606068566924997,2
AME,0.56,2.09,0.63,0.005249343832020997,8.35,5.12,31.315068493150687,31.315068493150687,1.1062444650841308,2.09,0.07684832988972966,0.1573630887235584,2
AOS,0.97,2.04,0.21,0.007793472966390647,64.36,6.61,33.29189189189189,33.29189189189189,0.495522841098801,2.04,0.12337048932552427,0.2263745406642169,7
APC,0.17,1.58,1.25,0.004080799836768007,-3.3,10.96,-8.306779661016948,-8.306779661016948,-2.1326388888888888,1.58,-0.06616538113500237,-0.23956626881972073,1
APD,0.54,1.31,0.69,0.021981584749059785,19.46,10.02,53.363321799307954,53.363321799307954,0.7375248334696739,1.31,0.03619086941811321,0.08706028417712788,5
APH,0.79,2.2,0.72,0.0066997805244310964,16.72,4.77,33.16858237547893,33.16858237547893,1.0309446254071661,2.2,0.11033197468625978,0.2540991199629458,2
ARNC,0.44,2.14,1.59,0.003312476996687523,1.83,4.32,-11.761904761904763,-11.761904761904763,-0.9989384288747346,2.14,-0.025797077610549113,-0.0781172173335547,1
AVGO,0.44,2.31,0.7,0.007943006878480183,-0.89,7.59,-50.25514403292181,-50.25514403292181,-2.1575682382133996,2.31,-0.16418051359516617,-0.36890114552397113,1
AVY,1.43,0.95,0.77,0.016046534951358944,8.96,8.79,28.166666666666664,28.166666666666664,0.2922095671981777,0.95,0.07758182741853545,0.3320907114010562,6
AYI,1.22,1.97,0.21,0.0032318210068365445,14.35,7.13,24.2684766214178,24.2684766214178,0.33823993270949426,1.97,0.10912483039348711,0.19381853235329558,2
BA,1.03,1.25,11.71,0.016468366383380548,19.2,1.79,34.78975032851511,34.78975032851511,1.3537057522123894,1.25,0.05184941954071689,0.7726913970007893,4
BAX,0.56,2.4,0.34,0.008020128951092938,56.66,3.99,7.057713651498336,7.057713651498336,1.8127053669222344,2.4,0.2367103694874851,0.561270630793579,7
BBY,2.88,1.48,0.28,0.020060899158158698,26.22,6.04,14.653543307086613,14.653543307086613,0.16271366105737378,1.48,0.09083512094089799,0.2804933759707629,6
BCR,0.72,2.09,0.98,0.003028834504482675,13.18,3.06,46.96443812233286,46.96443812233286,0.48225791814139213,2.09,0.10750773837221064,0.36514807943379374,2
BDX,0.48,1.45,1.38,0.012462823962611528,3.76,3.53,47.178173719376396,47.178173719376396,0.3247920133111481,1.45,0.03639075316927666,0.13623673925181462,2
BF.B,0.74,2.82,0.79,0.011768901569186876,33.37,0.94,21.486590038314176,21.486590038314176,0.6371428571428571,2.82,0.15993306239541,0.42829705505761845,0
BLL,0.7,1.23,2.13,0.006146572104018913,1.55,6.31,52.222222222222214,52.222222222222214,0.513671875,1.23,0.026899867034877775,0.2101814113322145,2
BMY,0.59,1.55,0.35,0.02375038807823657,36.42,3.55,24.30943396226415,24.30943396226415,0.9075544695581348,1.55,0.14038679601864684,0.3124211411748212,2
BWA,1.03,1.39,0.64,0.010153256704980842,3.25,10.46,94.9090909090909,94.9090909090909,0.14495412844036698,1.39,0.013402703161228298,0.03334552719700594,2
CAG,0.75,1.41,1.32,0.029489826010026542,2.95,4.52,-21.59872611464968,-21.59872611464968,0.4511325947357279,1.41,0.04774244619359849,0.1721510124946144,5
CAT,0.5,1.22,1.74,0.023447015834348352,2.46,3.09,-1194.1818181818182,-1194.1818181818182,-0.014297908664105847,1.22,-0.0008535358039160732,-0.00452427577824296,3
CBS,0.55,1.64,2.41,0.011201629327902241,6.43,5.9,20.96797153024911,20.96797153024911,0.5400428265524625,1.64,0.053061224489795916,0.22667625381988135,2
CCL,0.42,0.24,0.37,0.020491803278688527,13.68,28.78,17.709677419354836,17.709677419354836,1.264906690942194,0.24,0.07082600606570329,0.11690715577804889,9
CF,0.26,3.87,1.73,0.032441200324412,-0.13,8.62,-31.08403361344538,-31.08403361344538,-0.7847025495750708,3.87,-0.02174442063286469,-0.06864591593973038,0
CHD,0.81,0.76,0.35,0.015374621048072757,26.48,7.15,26.388571428571428,26.388571428571428,0.5297783933518005,0.76,0.107824943033663,0.22686832740213522,2
CLX,1.33,0.95,6.05,0.024105815136573533,12.17,7.64,25.96951219512195,25.96951219512195,0.49751596877217885,0.95,0.15515714918105356,2.3602693602693603,4
CMI,1.16,1.78,0.23,0.022586109542631284,28.97,4.85,21.51883353584447,21.51883353584447,0.6813294232649071,1.78,0.09211047971455003,0.18822576289495005,2
COG,0.22,2.78,0.59,0.003133568350959655,-6.47,36.11,-28.054945054945055,-28.054945054945055,-4.78122922445611,2.78,-0.07927252119434447,-0.20760824771002018,1
COL,0.7,1.49,0.67,0.009777777777777778,15.61,1.94,24.500907441016334,24.500907441016334,1.141065830721003,1.49,0.09852483421301936,0.38826666666666665,2
COO,0.44,1.74,0.41,0.00025493945188017844,12.29,1.9,42.10196779964222,42.10196779964222,0.3789675677021796,1.74,0.06140796886524489,0.1026864389211058,2
COP,0.26,1.25,0.75,0.01990049751243781,-3.44,14.62,-17.2680412371134,-17.2680412371134,-5.0,1.25,-0.03708300849370153,-0.0909159499019164,1
COTY,0.66,1.04,11.11,0.015772870662460567,2.23,3.11,36.02272727272727,36.02272727272727,-0.10399014778325123,1.04,-0.05946311371510662,-1.1721265963353693,4
CPB,1.0,0.75,1.52,0.026974113552316728,8.38,5.36,25.397790055248617,25.397790055248617,0.6796934865900384,0.75,0.11318106418272299,0.5816393442622951,5
CSCO,0.42,3.16,0.39,0.027445255474452552,20.11,12.86,16.23222748815166,16.23222748815166,0.8597119083832871,3.16,0.07898760398513793,0.1511181706664989,0
CSX,0.31,1.22,0.94,0.013206162876008802,5.73,8.51,30.12154696132597,30.12154696132597,0.542576764798987,1.22,0.048916921145009847,0.14709921043597665,2
CTAS,1.18,1.95,0.57,0.006898817345597898,12.13,11.67,24.508856682769725,24.508856682769725,0.3147271798766515,1.95,0.11712036347396558,0.26087735169665144,2
CVS,1.89,1.18,0.7,0.02222512746764283,9.01,10.34,15.61020408163265,15.61020408163265,0.2871105351260867,1.18,0.05677098348228109,0.142945478008388,6
CVX,0.44,0.93,0.24,0.03615981119352663,-9.75,13.54,-439.4074074074074,-439.4074074074074,-0.10610589239965841,0.93,-0.0018676978463226645,-0.003254406872888237,1
DE,0.46,2.13,3.64,0.018583042973286876,3.91,5.14,26.850311850311854,26.850311850311854,0.516278754615984,2.13,0.026297896720485405,0.22598392502298545,2
DG,1.81,1.72,0.55,0.010525056811386197,22.31,4.8,21.167088607594934,21.167088607594934,0.2651161036356035,1.72,0.11113392968572694,0.23264444922121671,6
DHR,0.36,0.97,0.42,0.006278224474061019,15.16,3.97,24.873972602739727,24.873972602739727,0.45531861783689337,0.97,0.052956936846514674,0.1077951735520445,2
DIS,0.62,1.01,0.38,0.014285714285714284,43.0,20.26,17.347294938917976,17.347294938917976,1.0727667352067627,1.01,0.10649565670998616,0.21091521617069062,9
DLPH,1.37,1.31,1.65,0.011978521272201567,10.13,10.86,21.098039215686274,21.098039215686274,1.0978165938864628,1.31,0.10498621899273365,0.5586666666666666,6
DOV,0.73,1.33,0.84,0.018114797261716692,6.05,5.17,29.215384615384615,29.215384615384615,0.28955069151299867,1.33,0.059037818093142465,0.139629998010742,2
DPS,0.69,2.6,2.09,0.02381219813545996,9.73,12.56,19.610132158590307,19.610132158590307,0.36367539716616576,2.6,0.09550118389897395,0.3879981676591846,0
DRI,1.31,0.69,0.23,0.02537151141718014,3.59,31.79,28.541379310344826,28.541379310344826,0.7636276697481671,0.69,0.10454763671278314,0.2454405737704918,9
DWDP,0.65,1.88,0.79,0.025849957853329587,6.14,5.29,20.22159090909091,20.22159090909091,1.3069007263922519,1.88,0.06347572986799165,0.17017419405690865,5
ECL,0.71,1.42,0.89,0.010692771084337348,6.78,5.1,32.077294685990346,32.077294685990346,0.28599339442712934,1.42,0.06595964960277229,0.17794758245415998,2
EL,1.29,1.58,0.53,0.010477941176470587,23.0,1.76,36.75675675675676,36.75675675675676,0.16722452804927032,1.58,0.13541790899135883,0.34967384305271704,2
EMN,0.58,1.6,1.39,0.021278991218194102,4.73,4.62,15.446956521739128,15.446956521739128,1.2147937411095306,1.6,0.05470501569406188,0.216696269982238,5
EMR,0.66,1.24,0.54,0.028884159318941924,12.24,5.41,26.103174603174605,26.103174603174605,0.47199769053117785,1.24,0.0740220934444042,0.20232644474693726,5
EOG,0.27,1.75,0.5,0.006918628665840562,-4.53,4.11,-48.909090909090914,-48.909090909090914,-0.45648650336115215,1.75,-0.04065527637117944,-0.08473174954715026,1
F,0.66,1.2,3.2,0.049586776859504134,8.56,14.7,10.521739130434783,10.521739130434783,0.3768448671695638,1.2,0.02043347782594198,0.1604636547727114,5
FBHS,1.0,1.71,0.6,0.00955223880597015,12.86,5.85,25.572519083969464,25.572519083969464,0.365696079299053,1.71,0.08469642930348871,0.16859112978905708,2
FDX,1.21,1.5,1.0,0.004443062158439597,9.15,34.86,34.572964669738866,34.572964669738866,0.13927874337763732,1.5,0.06506165335185829,0.2174260011607661,9
FL,2.02,3.72,0.05,0.0319693094629156,77.09,3.87,8.145833333333334,8.145833333333334,0.45108695652173914,3.72,0.17589403973509934,0.2600861731296514,7
FLIR,0.66,3.22,0.3,0.0110803324099723,16.27,2.34,36.1,36.1,0.516773923426427,3.22,0.06924285239361702,0.10101514687650612,0
FLR,2.26,1.47,0.49,0.019448946515397084,8.84,12.52,21.595,21.595,1.4727407849356005,1.47,0.03687358694338968,0.09388335751582984,6
FLS,0.81,1.98,0.9,0.016747465843984132,4.72,2.88,44.93069306930693,44.93069306930693,0.15027110124911688,1.98,0.028421681671679223,0.08704590582408278,2
FMC,0.53,1.98,0.92,0.006980433632998414,5.07,2.77,60.60897435897436,60.60897435897436,0.39490084985835694,1.98,0.033054585118323085,0.11207589644637402,2
FTV,0.81,1.7,1.25,0.001944174420219414,25.43,5.98,28.689243027888452,28.689243027888452,0.6221825962910128,1.7,0.12097467617119241,0.16841393956945652,2
GD,0.97,1.2,0.27,0.013887590012157487,43.74,7.29,22.464285714285715,22.464285714285715,1.5231958762886597,1.2,0.09235240803825359,0.2751909107841311,2
GE,0.29,1.93,1.39,0.039026437263953,2.8,3.9,26.775280898876403,26.775280898876403,0.480546335092779,1.93,0.017923976845574924,0.0898610008751043,5
GILD,0.56,2.22,1.39,0.02265730821327423,18.74,2.41,8.170020120724345,8.170020120724345,3.9732195409064155,2.22,0.2604409807287949,0.7284450199633107,2
GIS,0.76,0.79,1.43,0.034224187656219957,8.71,7.27,18.776173285198556,18.776173285198556,0.5916895726983901,0.79,0.07633921786268613,0.33619325788000487,5
GLW,0.33,3.29,0.23,0.017964071856287428,24.22,3.95,9.306501547987615,9.306501547987615,2.510190217391304,3.29,0.12943566749570884,0.1966680860123483,0
GM,0.8,0.89,1.27,0.03332602499451875,21.43,10.53,7.601666666666667,7.601666666666667,0.8050384286934245,0.89,0.0484628829940366,0.23643751097288757,5
GPC,1.8,1.4,0.17,0.029673925307457973,51.96,3.46,19.309368191721134,19.309368191721134,0.20387838851702236,1.4,0.08437806293141943,0.21840946021489452,6
GT,0.92,1.19,1.06,0.009133765468473777,4.24,4.31,7.160337552742615,7.160337552742615,0.48299579671379445,1.19,0.07689032179572967,0.3224489795918367,2
GWW,1.75,1.85,1.02,0.023242384870795437,16.36,4.27,21.05471124620061,21.05471124620061,0.20230913571013603,1.85,0.10344031117723428,0.2673250290960076,6
HAL,0.5,2.9,1.3,0.01661666282021694,-9.92,6.4,-6.476831091180866,-6.476831091180866,-25.276315789473685,2.9,-0.15600129933409126,-0.37272021730694604,8
HAS,1.02,2.0,0.64,0.020266829616050516,8.11,6.0,22.62442396313364,22.62442396313364,0.34903896856952765,2.0,0.11680005389011881,0.3313776893110291,2
HD,2.14,1.36,3.31,0.014440433212996389,12.99,5.09,29.932234432234434,29.932234432234434,0.46445248657483074,1.36,0.1870079202801476,1.2598163394553514,6
HES,0.15,1.9,0.46,0.02220741727737064,-10.4,8.43,-2.2605421686746987,-2.2605421686746987,-14.775903614457832,1.9,-0.17932446264073695,-0.3163107397090684,8
HLT,0.45,1.33,1.8,0.011824324324324323,3.13,8.24,67.65714285714286,67.65714285714286,0.564935064935065,1.33,0.013532431171255249,0.058145363408521306,2
HOG,0.6,1.35,2.43,0.02828282828282828,35.51,6.62,12.924281984334204,12.924281984334204,0.5685410110896727,1.35,0.06927759289780663,0.3762468377205714,5
HON,0.76,1.41,0.63,0.016855865153078776,20.07,6.18,23.443548387096772,23.443548387096772,0.8793198025233132,1.41,0.09751399140238462,0.263031231198381,2
